period,holding_days,n_independent_events,mean,ci_lo,ci_hi,baseline_mean,diff_vs_baseline,perm_p
RESEARCH / DEVELOPMENT PERIOD,1,44,-0.005143827151926292,-0.013046231092261915,0.002052489981015131,-0.00048388470843893275,-0.004659942443487359,0.023666666666666666
RESEARCH / DEVELOPMENT PERIOD,3,44,-0.001268813038770126,-0.016303233728258874,0.012604147017969072,0.0003714906250004549,-0.0016403036637705809,0.6496666666666666
RESEARCH / DEVELOPMENT PERIOD,5,44,0.0024815130320026916,-0.013876053395433456,0.019042613173237913,0.0011829821406867595,0.001298530891315932,0.7766666666666666
RESEARCH / DEVELOPMENT PERIOD,10,44,-0.001026490101946031,-0.026103679029844246,0.021691429458205326,0.003123350934877135,-0.004149841036823166,0.5163333333333333
OUT-OF-SAMPLE PERIOD,1,15,0.0037971956011736124,-0.003364729608676286,0.010539490160079117,-0.0005220803413429446,0.004319275942516557,0.07033333333333333
OUT-OF-SAMPLE PERIOD,3,15,0.011799571787776249,-0.00589795188251097,0.03041518833844945,0.0003566477205386541,0.011442924067237594,0.014666666666666666
OUT-OF-SAMPLE PERIOD,5,15,0.0050629050907415206,-0.01998076576752185,0.025716869793446662,0.0012889424918415004,0.0037739625989000204,0.5253333333333333
OUT-OF-SAMPLE PERIOD,10,15,0.006280690221800778,-0.049426371004752966,0.05105147136530356,0.0036283423570958127,0.002652347864704965,0.755
