event_date,entry_date,exit_date,entry_price,exit_price,gross_return,net_return
2007-10-18,2007-10-19,2007-10-25,5360.35009765625,5568.9501953125,0.03891538684151574,0.037876731183521084
2007-11-21,2007-11-22,2007-11-28,5564.64990234375,5617.5498046875,0.009506420578493158,0.008497166534519929
2007-12-17,2007-12-18,2007-12-26,5777.60009765625,6070.75,0.05073904344169988,0.049688567083019164
2008-01-18,2008-01-21,2008-01-25,5705.0,5383.35009765625,-0.05638035098049954,-0.05732373472460661
2008-02-07,2008-02-08,2008-02-14,5132.10009765625,5202.0,0.013620136204216315,0.012606769473046286
2008-03-03,2008-03-04,2008-03-11,4958.5498046875,4865.89990234375,-0.018684878844246855,-0.0196659486366223
2008-03-13,2008-03-14,2008-03-24,4623.7998046875,4609.85009765625,-0.0030169357715504885,-0.004013669590012703
2008-03-31,2008-04-01,2008-04-07,4735.64990234375,4761.2001953125,0.005395308668426857,0.004390164708585775
2008-06-20,2008-06-23,2008-06-27,4351.14990234375,4136.64990234375,-0.049297313311237434,-0.050247778322254355
2008-06-27,2008-06-30,2008-07-04,4136.25,4016.0,-0.029072227258990613,-0.030042912299788394
2008-07-15,2008-07-16,2008-07-22,3861.550048828125,4240.10009765625,0.09803059497908229,0.09693283889175208
2008-07-29,2008-07-30,2008-08-05,4191.2001953125,4502.85009765625,0.07435815227635834,0.0732840627136202
2008-09-15,2008-09-16,2008-09-22,4072.550048828125,4223.0498046875,0.03695467312984424,0.03591797769538263
2008-09-26,2008-09-29,2008-10-06,3990.199951171875,3602.35009765625,-0.09720060605026026,-0.09810317974436145
2008-10-10,2008-10-13,2008-10-17,3272.89990234375,3074.35009765625,-0.06066479593381913,-0.06160389630408414
2008-10-22,2008-10-23,2008-10-31,3064.800048828125,2885.60009765625,-0.05847035640722953,-0.05941165066841125
2008-11-05,2008-11-06,2008-11-12,2998.449951171875,2848.449951171875,-0.05002584750209882,-0.05097558416105852
2008-11-18,2008-11-19,2008-11-25,2682.75,2654.0,-0.01071661541328861,-0.011705651477029066
2009-01-07,2009-01-09,2009-01-15,2919.949951171875,2736.699951171875,-0.06275792498650723,-0.0636949327510018
2009-01-15,2009-01-16,2009-01-22,2737.0,2713.800048828125,-0.008476416211865234,-0.009467691914757381
2009-02-02,2009-02-03,2009-02-09,2773.5,2919.89990234375,0.05278525413511814,0.05173273207729667
2009-02-16,2009-02-17,2009-02-24,2853.85009765625,2733.89990234375,-0.0420310076590954,-0.04298873715918816
2009-03-02,2009-03-03,2009-03-09,2672.14990234375,2573.14990234375,-0.03704881972121654,-0.03801153016370018
2009-03-30,2009-03-31,2009-04-08,2981.699951171875,3342.949951171875,0.12115571852158391,0.12003484309199197
2009-04-16,2009-04-17,2009-04-23,3369.5,3423.699951171875,0.016085458130842945,0.015069626694076854
2009-04-28,2009-04-29,2009-05-07,3371.64990234375,3683.89990234375,0.09261044564055854,0.09151810834752938
2009-06-08,2009-06-09,2009-06-15,4427.75,4484.0,0.01270396928462536,0.011691518491333097
2009-06-17,2009-06-18,2009-06-24,4352.9501953125,4292.9501953125,-0.013783755225274863,-0.01476972491598827
2009-07-06,2009-07-07,2009-07-13,4166.0,3974.050048828125,-0.04607536033890425,-0.04702904649740536
2009-08-17,2009-08-18,2009-08-24,4389.5,4642.7998046875,0.05770584455803629,0.056648403139939685
2009-11-03,2009-11-04,2009-11-10,4567.2998046875,4881.7001953125,0.06883725703802623,0.06776868699030247
2010-01-27,2010-01-28,2010-02-03,4863.0,4931.85009765625,0.014157947286911332,0.013144042879111417
2011-02-24,2011-02-25,2011-03-04,5321.0498046875,5538.75,0.04091301590913887,0.0398723631214839
2011-09-22,2011-09-23,2011-09-29,4873.75,5015.4501953125,0.02907416164401133,0.02804534475090792
