holding_days,n_events,n_baseline,event_mean,event_ci_lo,event_ci_hi,baseline_mean,win_rate,win_ci_lo,win_ci_hi,recovery_rate,recovery_ci_lo,recovery_ci_hi,diff_vs_baseline,permutation_p,welch_t_p
1,79,4662,-0.0004977753957751354,-0.007619842024669624,0.00652559194903022,-0.000497734872627912,0.5063291139240507,0.3924050632911392,0.620253164556962,0.05063291139240506,0.012658227848101266,0.10126582278481013,-4.052314722343721e-08,1.0,0.9999911050330397
3,79,4660,0.0017711228744909948,-0.009307697848084471,0.012639598426757421,0.0003653978003561189,0.5569620253164557,0.4430379746835443,0.6708860759493671,0.20253164556962025,0.11392405063291139,0.2911392405063291,0.0014057250741348758,0.5779,0.8037761156374575
5,79,4658,0.004228242110747821,-0.010074745890323334,0.01844435472570427,0.0012128952234523075,0.569620253164557,0.45569620253164556,0.6708860759493671,0.3037974683544304,0.20253164556962025,0.4050632911392405,0.0030153468872955135,0.3722,0.6825041500871237
10,79,4653,0.0029779657785918338,-0.01604802781743199,0.020858241377091878,0.0032893924732913444,0.5822784810126582,0.46835443037974683,0.6962025316455697,0.379746835443038,0.27848101265822783,0.4936708860759494,-0.00031142669469951065,0.9446,0.9738705588734377
